"index";"jogoMiolosDesigner"
695;"Gary Dicken"
698;"Koota Yamada"
702;"Edu Reis"
704;"Aureliano Buonfino"
705;"Marco Maggi"
707;"Lorenzo Silva"
708;"Klaus Miltenberger"
712;"Matthieu Berthier"
716;"Gerald Cattiaux"
719;"Nordan Manz"
722;"Gaëtan Beaujannot"
723;"Simon McGregor"
726;"Travis Hancock"
728;"Carlo A. Rossi"
730;"John Goodenough"
733;"藤田 真吾 (Shingo Fujita)"
739;"Ghislain Masson"
740;"Kevin Riley"
741;"Karl Marcelle"
742;"Jose Antonio Abascal Acebo"
743;"Bill Eberle"
744;"Rolf Sagel"
746;"Dominique Ehrhard"
747;"Johnny O'Neal"
751;"Enrico Pesce"
753;"Marcelo Del Debbio"
754;"Karsten Hartwig"
758;"Johan Benvenuto"
764;"Andreas ""ode."" Odendahl"
766;"Jeff Grossman"
767;"Matthew O'Malley"
768;"Ed Carter"
769;"Claude Lucchini"
770;"Marco Canetta"
772;"Peter Rustemeyer"
774;"Sami Laakso"
776;"Ludovic Maublanc"
777;"Anderson Butilheiro"
778;"Stefan Risthaus"
779;"Emiliano Sciarra"
780;"Antonio Ferrara"
781;"Karl-Heinz Schmiel"
786;"Valter Bispo"
787;"Carl Van Ostrand"
789;"Acchittocca"
794;"Kris Burm"
795;"Mathieu Aubert"
798;"Marco Pranzo"
799;"Adam Kałuża"
801;"James Mathe"
802;"Thomas Vande Ginste"
805;"Hope S. Hwang"
807;"Gun-Hee Kim"
808;"Peter McPherson"
810;"Rovalde Banchieri"
811;"Marcel-André Casasola Merkle"
812;"Will Schoonover"
815;"Jason Miceli"
817;"Holger Lanz"
818;"Francis Tresham"
819;"Tim Puls"
820;"Francesco Giovo"
821;"Yohan Lemonnier"
826;"Dennis K. Chan"
828;"Stefan Alexander"
829;"José Ramón Palacios"
831;"Fabio Lopiano"
832;"Jacques Zeimet"
835;"Tomáš Uhlíř"
836;"Led Bacciotti"
838;"Matt Hyra"
839;"Dan Blanchett"
843;"Richard Baker"
844;"Rafael M. Verri"
845;"Klemens Kalicki"
846;"Matt Calkins"
849;"Felix Mertikat"
850;"Lucas Pereira"
851;"Jim Krohn"
854;"Bruce Allen"
855;"Stevo Torres"
856;"Dave Chalker"
857;"Eduardo Guerra"
859;"Keith Baker"
861;"Bryan Pope"
866;"Steve Jackson (I)"
867;"Iata Costa"
869;"Éderson Ayres Castro"
870;"Leo Colovini"
873;"Tom Jolly"
876;"Thiago Henrique Ferri"
879;"Filip Neduk"
881;"Ivan Lashin"
882;"Cyril Demaegd"
884;"Andrés J. Voicu"
887;"William Grosselin"
892;"Fabio Michelan"
893;"Sandro Tomasetti"
894;"Franz-Benno Delonge"
896;"Murat Célébi"
897;"Fernando Augusto C. Prado"
898;"Hervé Rigal"
900;"White Wizard Games"
901;"Thomas Vuarchex"
902;"Stéphane Maurel"
909;"Tony Fanchi"
910;"Luiz Roberto Kotze"
911;"Thierry Denoual"
913;"Germán P. Millán"
914;"Uwe Eickert"
915;"John Coveyou"
920;"Fabian Zimmermann"
922;"Takumi Akabane"
925;"Fernando Cunha"
