"index";"jogoMiolosArtista"
637;"Luís Brüeh"
638;"Paul Niemeyer"
639;"René Goscinny"
641;"Cathy Brigg"
643;"Mariana Livraes"
644;"Daren Bader"
645;"Mad4GameStyle"
647;"George Bletsis"
650;"Reinis Pētersons"
651;"Rodger B. MacGowan"
655;"Belli Studio"
656;"Apolline Etienne"
657;"Eunice Abigael Tiu"
659;"Jun Sasaki"
661;"Jasmine Radue"
664;"Riot Games"
665;"Victor Boden"
666;"Gaetan Noir"
668;"Sławek Wiechowski"
669;"Jéssica Lang"
671;"Giovanna BC Guimarães"
673;"Gil Martimiano"
674;"Gabrielle Levion"
680;"Gary Locke"
681;"Jack Scott Hill"
685;"Christopher Matt"
688;"Etienne Hebinger"
689;"Steve Finn"
695;"Mateusz Leinert"
698;"Dommiy"
702;"Edu Reis"
708;"Michael Bayer"
711;"Ruslan Audia"
716;"Jérôme Pélissier"
718;"Dirk Henn"
721;"WizKids Games"
722;"Éric Azagury"
723;"Rob van Zyl"
726;"Sarah Keele"
727;"Maëva da Silva"
730;"Michael Komarck"
733;"Shintaro Ono"
738;"Dan Gerlach"
739;"Sébastien Caiveau"
741;"Jonathan Hartert"
742;"Oriol Hernández"
743;"Ryan Barger"
744;"John Rabou"
747;"Kyle Merritt"
750;"Peter Bergting"
751;"Paolo Vallerga"
753;"Ronaldo Barata"
755;"Paula Simonetti"
757;"Jakub Skop"
758;"Sébastien Lopez"
760;"Monica Helland"
764;"Javier González Cava"
766;"Xavier Carrascosa"
768;"Ed Carter"
774;"Sami Laakso"
775;"Ed Bourelle"
776;"John Kovalic"
779;"Alessandro Pierangelini"
780;"Sebastiano Fiorillo"
781;"Marcus Gschwendtner"
782;"Dave Allsop"
786;"Independente"
788;"Katie Burk"
791;"Rafa Miqueleto"
794;"lu'cifer"
795;"M81 Studio"
797;"Marta Tranquilli"
801;"Clay Gardner"
803;"Toni Cittadini"
806;"Vincent Joubert"
807;"Gun-Hee Kim"
809;"Stéphane Escapa"
810;"Kalango Analógico"
811;"Manuel Casasola Merkle"
812;"Privateer Press"
815;"Matthew Mizak"
820;"Guido Favaro"
822;"Alderac Entertainment Group"
823;"Vincent Joassin"
824;"Jared Blando"
828;"Kristiaan der Nederlanden"
829;"Joan Guardiet"
832;"Gabriela Silveira"
833;"John Gravato"
834;"Gaël Lannurien"
837;"Dominique Ehrhard"
838;"Cosmic Games"
839;"Mikhail Palamarchuk"
840;"William Aubert"
841;"Guilherme Cavalcante"
843;"Wayne England"
845;"Bartłomiej Kordowski"
847;"Daniel Döbner"
849;"Felix Mertikat"
850;"Domen Koželj"
855;"Jake Morrison"
856;"Rob Lundy"
857;"João Henrique Pachêco"
859;"J. Scott Reeves"
861;"Drew Baker"
864;"Eduardo Bera"
865;"Jonatas Bermudes"
866;"Alex Fernandez"
867;"Iata Costa"
868;"Rodrigo Ramos"
869;"Éderson Ayres Castro"
873;"Minion Games"
875;"Johann Rüttinger"
