"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1526";"1526º";"Catan Junior";6.9;7.68;43;"https://ludopedia.com.br/jogo/catan-junior"
"1527";"1527º";"BattleTech";6.9;7.29;87;"https://ludopedia.com.br/jogo/battletech"
"1528";"1528º";"Saco de Ossos";6.9;7.39;69;"https://ludopedia.com.br/jogo/saco-de-ossos"
"1529";"1529º";"Khôra: Rise of an Empire";6.9;8.36;23;"https://ludopedia.com.br/jogo/khora-rise-of-an-empire"
"1530";"1530º";"Mercado de Lisboa";6.9;7.25;96;"https://ludopedia.com.br/jogo/mercado-de-lisboa"
"1531";"1531º";"Coup: The Resistance Universe";6.9;7.95;32;"https://ludopedia.com.br/jogo/coup-the-resistance-universe"
"1532";"1532º";"Valdora";6.9;8.06;29;"https://ludopedia.com.br/jogo/valdora"
"1533";"1533º";"Angus: Batalhas Medievais";6.9;7.37;71;"https://ludopedia.com.br/jogo/angus-batalhas-medievais"
"1534";"1534º";"Pax Renaissance";6.9;8.5;21;"https://ludopedia.com.br/jogo/pax-renaissance"
"1535";"1535º";"Leonardo Da Vinci";6.9;7.34;76;"https://ludopedia.com.br/jogo/leonardo-da-vinci"
"1536";"1536º";"Jolly Roger: Um Jogo de Motins e Pirataria";6.9;7.26;92;"https://ludopedia.com.br/jogo/jolly-roger-the-game-of-piracy-mutiny"
"1537";"1537º";"Dungeons & Drinks";6.9;7.97;31;"https://ludopedia.com.br/jogo/dungeons-drinks"
"1538";"1538º";"Thunderstone";6.89;7.54;52;"https://ludopedia.com.br/jogo/thunderstone"
"1539";"1539º";"Tortuga 2199";6.89;7.69;42;"https://ludopedia.com.br/jogo/tortuga-2199"
"1540";"1540º";"Arquimedes";6.89;7.32;78;"https://ludopedia.com.br/jogo/arquimedes"
"1541";"1541º";"Museum";6.89;8.48;21;"https://ludopedia.com.br/jogo/museum"
"1542";"1542º";"Última Fortaleza";6.89;7.22;100;"https://ludopedia.com.br/jogo/ultima-fortaleza"
"1543";"1543º";"Pueblo";6.89;8.12;27;"https://ludopedia.com.br/jogo/pueblo"
"1544";"1544º";"Lowlands";6.89;8.28;24;"https://ludopedia.com.br/jogo/lowlands"
"1545";"1545º";"Princes of the Renaissance";6.89;8.17;26;"https://ludopedia.com.br/jogo/princes-of-the-renaissance"
"1546";"1546º";"Catan: O Jogo de Cartas";6.89;7.68;42;"https://ludopedia.com.br/jogo/the-struggle-for-catan"
"1547";"1547º";"Shogi";6.89;8.27;24;"https://ludopedia.com.br/jogo/shogi"
"1548";"1548º";"Café com Pandas";6.89;9.1;15;"https://ludopedia.com.br/jogo/cafe-com-pandas"
"1549";"1549º";"Pot de Vin";6.89;7.07;183;"https://ludopedia.com.br/jogo/pot-de-vin"
