"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1077";"1077º";"Dungeon Raiders";7.08;7.31;168;"https://ludopedia.com.br/jogo/dungeon-raiders"
"1078";"1078º";"O Labirinto Mágico";7.08;7.62;72;"https://ludopedia.com.br/jogo/the-magic-labyrinth"
"1079";"1079º";"Defenders of the Realm";7.08;7.82;53;"https://ludopedia.com.br/jogo/defenders-of-the-realm"
"1080";"1080º";"Black Gold";7.08;7.99;43;"https://ludopedia.com.br/jogo/black-gold"
"1081";"1081º";"Stone Age: Anniversary";7.08;8.48;28;"https://ludopedia.com.br/jogo/stone-age-anniversary"
"1082";"1082º";"Muralha de Adriano";7.08;8.3;32;"https://ludopedia.com.br/jogo/hadrian-s-wall"
"1083";"1083º";"Zombie Kidz: Evolução";7.08;7.86;50;"https://ludopedia.com.br/jogo/zombie-kidz-evolution"
"1084";"1084º";"The Red Dragon Inn";7.08;7.31;170;"https://ludopedia.com.br/jogo/the-red-dragon-inn"
"1085";"1085º";"World of Warcraft: O Jogo de Aventura";7.08;7.47;98;"https://ludopedia.com.br/jogo/world-of-warcraft-the-adventure-game"
"1086";"1086º";"Histórias Sinistras 3";7.07;7.3;171;"https://ludopedia.com.br/jogo/black-stories-3"
"1087";"1087º";"Abalone / Polaris";7.07;7.51;89;"https://ludopedia.com.br/jogo/abalone-polaris"
"1088";"1088º";"Shikoku 1889";7.07;8.33;31;"https://ludopedia.com.br/jogo/shikoku-1889"
"1089";"1089º";"Van Gogh";7.07;9.03;20;"https://ludopedia.com.br/jogo/van-gogh"
"1090";"1090º";"Fresco: Mega Box";7.07;8.77;23;"https://ludopedia.com.br/jogo/fresco-mega-box"
"1091";"1091º";"Shakespeare: Sonhos de um Bardo";7.07;8.13;37;"https://ludopedia.com.br/jogo/shakespeare-sonhos-de-um-bardo"
"1092";"1092º";"Heroes of Land, Air & Sea";7.07;8.51;27;"https://ludopedia.com.br/jogo/heroes-of-land-air-sea"
"1093";"1093º";"Pablo (Primeira Edição)";7.07;7.19;318;"https://ludopedia.com.br/jogo/pablo-primeira-edicao"
"1094";"1094º";"The Lost Expedition";7.07;7.92;46;"https://ludopedia.com.br/jogo/the-lost-expedition"
"1095";"1095º";"San Juan";7.07;7.38;125;"https://ludopedia.com.br/jogo/san-juan"
"1096";"1096º";"Harbour";7.06;7.39;119;"https://ludopedia.com.br/jogo/harbour"
"1097";"1097º";"Forum Trajanum";7.06;7.71;60;"https://ludopedia.com.br/jogo/forum-trajanum"
"1098";"1098º";"Legacy: The Testament of Duke de Crecy";7.06;8.11;37;"https://ludopedia.com.br/jogo/legacy-the-testament-of-duke-de-crecy"
"1099";"1099º";"Clinic: Deluxe Edition";7.06;8.55;26;"https://ludopedia.com.br/jogo/clinic-deluxe-edition"
"1100";"1100º";"Tides of Time";7.06;7.15;415;"https://ludopedia.com.br/jogo/tides-of-time"
"1101";"1101º";"Machi Koro";7.06;7.26;195;"https://ludopedia.com.br/jogo/machi-koro"
"1102";"1102º";"Blood Bowl: Team Manager - The Card Game";7.06;7.76;55;"https://ludopedia.com.br/jogo/blood-bowl-team-manager-the-card-game"
"1103";"1103º";"La Boca";7.06;7.64;66;"https://ludopedia.com.br/jogo/la-boca"
"1104";"1104º";"Chimera Station";7.06;7.78;53;"https://ludopedia.com.br/jogo/chimera-station"
"1105";"1105º";"Glen More II: Chronicles";7.06;8.3;31;"https://ludopedia.com.br/jogo/glen-more-ii-chronicles"
"1106";"1106º";"Key to the City: London";7.06;7.95;43;"https://ludopedia.com.br/jogo/key-to-the-city-london"
"1107";"1107º";"A Volta ao Mundo em 80 Dias";7.06;7.36;126;"https://ludopedia.com.br/jogo/around-the-world-in-80-days"
"1108";"1108º";"Frogriders";7.06;7.35;131;"https://ludopedia.com.br/jogo/frogriders"
"1109";"1109º";"Dutch Blitz";7.06;7.7;60;"https://ludopedia.com.br/jogo/dutch-blitz"
"1110";"1110º";"Space Hulk (third edition)";7.05;8.65;24;"https://ludopedia.com.br/jogo/space-hulk-third-edition"
"1111";"1111º";"Tichu";7.05;7.49;89;"https://ludopedia.com.br/jogo/tichu"
"1112";"1112º";"Corta!";7.05;7.58;73;"https://ludopedia.com.br/jogo/american-book-shop"
"1113";"1113º";"Set";7.05;7.24;207;"https://ludopedia.com.br/jogo/set"
"1114";"1114º";"World Without End";7.05;8.29;31;"https://ludopedia.com.br/jogo/world-without-end"
"1115";"1115º";"Disney Villainous: Wicked to the Core";7.05;8.65;24;"https://ludopedia.com.br/jogo/disney-villainous-wicked-to-the-core"
"1116";"1116º";"Akrotiri";7.05;8.01;40;"https://ludopedia.com.br/jogo/akrotiri"
"1117";"1117º";"Folklore: The Affliction";7.05;8.58;25;"https://ludopedia.com.br/jogo/folklore-the-affliction"
"1118";"1118º";"Colt Super Express";7.05;7.62;67;"https://ludopedia.com.br/jogo/colt-super-express"
"1119";"1119º";"Script Terror";7.05;8.11;36;"https://ludopedia.com.br/jogo/script-terror"
"1120";"1120º";"SixStix";7.05;7.64;65;"https://ludopedia.com.br/jogo/sixstix"
"1121";"1121º";"1960: The Making of the President";7.05;8.41;28;"https://ludopedia.com.br/jogo/1960-the-making-of-the-president"
"1122";"1122º";"A Guerra dos Tronos: Card Game";7.05;7.15;367;"https://ludopedia.com.br/jogo/a-game-of-thrones-the-card-game"
"1123";"1123º";"Fila Filo - Formigas na Teia";7.05;7.41;104;"https://ludopedia.com.br/jogo/spinderella"
"1124";"1124º";"Middle-Earth Quest";7.05;8.24;32;"https://ludopedia.com.br/jogo/middle-earth-quest"
"1125";"1125º";"Castell";7.05;8.27;31;"https://ludopedia.com.br/jogo/castell"
"1126";"1126º";"Paranormal Detectives";7.05;7.97;41;"https://ludopedia.com.br/jogo/paranormal-detectives"
"1127";"1127º";"Dwar7s Spring";7.05;8.4;28;"https://ludopedia.com.br/jogo/dwar7s-spring"
"1128";"1128º";"Interpol";7.04;7.13;470;"https://ludopedia.com.br/jogo/interpol"
"1129";"1129º";"Quarto!";7.04;7.47;89;"https://ludopedia.com.br/jogo/quarto"
"1130";"1130º";"Scotland Yard";7.04;7.08;1077;"https://ludopedia.com.br/jogo/scotland-yard"
"1131";"1131º";"Outlive";7.04;8.26;31;"https://ludopedia.com.br/jogo/outlive"
"1132";"1132º";"Agricola: All Creatures Big and Small – The Big Box";7.04;8.26;31;"https://ludopedia.com.br/jogo/agricola-all-creatures-big-and-small-the-big-box"
"1133";"1133º";"Keltis: o Caminho das Pedras";7.04;7.45;92;"https://ludopedia.com.br/jogo/keltis"
"1134";"1134º";"Histórias Sinistras 4";7.04;7.71;56;"https://ludopedia.com.br/jogo/black-stories-4"
"1135";"1135º";"Speed Cups";7.04;7.98;40;"https://ludopedia.com.br/jogo/speed-cups"
"1136";"1136º";"Meeple Circus";7.04;7.98;40;"https://ludopedia.com.br/jogo/meeple-circus"
"1137";"1137º";"Penny Press";7.04;7.84;47;"https://ludopedia.com.br/jogo/penny-press"
"1138";"1138º";"Haspelknecht";7.04;7.94;42;"https://ludopedia.com.br/jogo/haspelknecht"
"1139";"1139º";"Helvetia";7.04;7.81;49;"https://ludopedia.com.br/jogo/helvetia"
"1140";"1140º";"Snowdonia";7.03;7.93;42;"https://ludopedia.com.br/jogo/snowdonia"
"1141";"1141º";"Dice Hospital";7.03;7.92;42;"https://ludopedia.com.br/jogo/dice-hospital"
"1142";"1142º";"XenoShyft: Onslaught";7.03;7.99;39;"https://ludopedia.com.br/jogo/xenoshyft-onslaught"
"1143";"1143º";"Thunderstone Advance: Numenera";7.03;8.9;20;"https://ludopedia.com.br/jogo/thunderstone-advance-numenera"
