"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1021";"1021º";"The Capitals";7.14;8.08;44;"https://ludopedia.com.br/jogo/the-capitals"
"1022";"1022º";"Can't Stop";7.14;7.28;294;"https://ludopedia.com.br/jogo/can-t-stop"
"1023";"1023º";"The Staufer Dynasty";7.14;7.93;52;"https://ludopedia.com.br/jogo/the-staufer-dynasty"
"1024";"1024º";"Brew Crafters";7.13;8.1;43;"https://ludopedia.com.br/jogo/brew-crafters"
"1025";"1025º";"Crown of Emara";7.13;8.22;38;"https://ludopedia.com.br/jogo/crown-of-emara"
"1026";"1026º";"Railways of Nippon";7.13;8.39;33;"https://ludopedia.com.br/jogo/railways-of-nippon"
"1027";"1027º";"Overdrive";7.13;7.56;96;"https://ludopedia.com.br/jogo/overdrive"
"1028";"1028º";"Combat Commander: Europe";7.13;8.61;28;"https://ludopedia.com.br/jogo/combat-commander-europe"
"1029";"1029º";"Allumbra - O duelo";7.13;8.09;43;"https://ludopedia.com.br/jogo/allumbra-o-duelo"
"1030";"1030º";"Kingdomino Origins";7.13;8.22;38;"https://ludopedia.com.br/jogo/kingdomino-origins"
"1031";"1031º";"Vasco da Gama";7.13;7.88;55;"https://ludopedia.com.br/jogo/vasco-da-gama"
"1032";"1032º";"Obscurio";7.13;7.94;51;"https://ludopedia.com.br/jogo/obscurio"
"1033";"1033º";"Once Upon a Time: The Storytelling Card Game";7.13;7.59;89;"https://ludopedia.com.br/jogo/once-upon-a-time-the-storytelling-card-game"
"1034";"1034º";"Claustrophobia";7.13;8.21;38;"https://ludopedia.com.br/jogo/claustrophobia"
"1035";"1035º";"RPGQuest - A Jornada do Herói";7.12;7.33;195;"https://ludopedia.com.br/jogo/rpgquest-a-jornada-do-heroi"
"1036";"1036º";"Avenue";7.12;7.34;189;"https://ludopedia.com.br/jogo/avenue"
"1037";"1037º";"Anachrony: Infinity Box";7.12;9.41;18;"https://ludopedia.com.br/jogo/anachrony-infinity-box"
"1038";"1038º";"Uno Flip!";7.12;8.41;32;"https://ludopedia.com.br/jogo/uno-flip"
"1039";"1039º";"Commands & Colors: Ancients";7.12;8.59;28;"https://ludopedia.com.br/jogo/commands-colors-ancients"
"1040";"1040º";"Spyrium";7.12;7.62;82;"https://ludopedia.com.br/jogo/spyrium"
"1041";"1041º";"Clinic: Deluxe Edition";7.12;8.53;29;"https://ludopedia.com.br/jogo/clinic-deluxe-edition"
"1042";"1042º";"PitchCar";7.12;7.73;67;"https://ludopedia.com.br/jogo/pitchcar"
"1043";"1043º";"Robin Hood";7.12;7.31;207;"https://ludopedia.com.br/jogo/robin-hood"
"1044";"1044º";"Santo Domingo";7.12;7.45;124;"https://ludopedia.com.br/jogo/santo-domingo"
"1045";"1045º";"Automania";7.11;8.0;46;"https://ludopedia.com.br/jogo/automania"
"1046";"1046º";"Vampiro: A Máscara – Herança";7.11;7.84;56;"https://ludopedia.com.br/jogo/vampire-the-masquerade-heritage"
"1047";"1047º";"Marãná";7.11;9.15;20;"https://ludopedia.com.br/jogo/marana"
"1048";"1048º";"O Labirinto Mágico";7.11;7.64;77;"https://ludopedia.com.br/jogo/the-magic-labyrinth"
"1049";"1049º";"Jenga";7.11;7.17;735;"https://ludopedia.com.br/jogo/jenga"
"1050";"1050º";"A Touch of Evil: The Supernatural Game";7.11;7.8;59;"https://ludopedia.com.br/jogo/a-touch-of-evil-the-supernatural-game"
"1051";"1051º";"The Builders: Antiquity";7.11;7.5;104;"https://ludopedia.com.br/jogo/the-builders-antiquity"
"1052";"1052º";"Tsuro dos Mares";7.11;7.38;151;"https://ludopedia.com.br/jogo/tsuro-of-the-seas"
"1053";"1053º";"Senda Zen";7.11;8.21;37;"https://ludopedia.com.br/jogo/senda-zen"
"1054";"1054º";"Flick 'em Up!";7.11;7.2;430;"https://ludopedia.com.br/jogo/flick-em-up"
"1055";"1055º";"EXIT: O Laboratório Secreto";7.11;7.4;139;"https://ludopedia.com.br/jogo/exit-the-game-the-secret-lab"
"1056";"1056º";"Summoner Wars: Alliances Master Set";7.11;8.87;23;"https://ludopedia.com.br/jogo/summoner-wars-alliances-master-set"
"1057";"1057º";"Attack on Titan: The Last Stand";7.11;7.4;140;"https://ludopedia.com.br/jogo/attack-on-titan-the-last-stand"
"1058";"1058º";"Cafundó";7.11;7.36;163;"https://ludopedia.com.br/jogo/cafundo"
"1059";"1059º";"Patuscada";7.11;7.33;180;"https://ludopedia.com.br/jogo/patuscada"
"1060";"1060º";"Imperial Settlers: Empires of the North";7.11;8.14;39;"https://ludopedia.com.br/jogo/imperial-settlers-empires-of-the-north"
